"FIPS","Year","Group","Value","MOE"
"0900553470","2008-2012","Total Living with One Parent, Not in Work Force",0,24
"0900553470","2008-2012","Total Living with Two Parents",189,51.7397332811061
"0900553470","2008-2012","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900554030","2008-2012","Total Children",556,165
"0900554030","2008-2012","Total Living with One Parent",292,133.764718816286
"0900554030","2008-2012","Total Living with One Parent, Not in Work Force",24,45.0777106783386
"0900554030","2008-2012","Total Living with Two Parents",264,112.200713010212
"0900554030","2008-2012","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900560750","2008-2012","Total Children",2534,213
"0900560750","2008-2012","Total Living with One Parent",494,170
"0900560750","2008-2012","Total Living with One Parent, Not in Work Force",55,56.9473440996154
"0900560750","2008-2012","Total Living with Two Parents",2040,271.974263488294
"0900560750","2008-2012","Total Living with Two Parents, Neither in Work Force",37,60.0832755431992
"0900565930","2008-2012","Total Children",403,96
"0900565930","2008-2012","Total Living with One Parent",50,36.6196668472011
"0900565930","2008-2012","Total Living with One Parent, Not in Work Force",8,23.5159520326097
"0900565930","2008-2012","Total Living with Two Parents",353,84.8999411071645
"0900565930","2008-2012","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900566420","2008-2012","Total Children",729,165
"0900566420","2008-2012","Total Living with One Parent",388,134.402380931292
"0900566420","2008-2012","Total Living with One Parent, Not in Work Force",0,24
"0900566420","2008-2012","Total Living with Two Parents",341,160.56151469141
"0900566420","2008-2012","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900567960","2008-2012","Total Children",427,94
"0900567960","2008-2012","Total Living with One Parent",86,72.0069441095788
"0900567960","2008-2012","Total Living with One Parent, Not in Work Force",16,34.8711915483254
"0900567960","2008-2012","Total Living with Two Parents",341,109
"0900567960","2008-2012","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900575730","2008-2012","Total Children",1495,124
"0900575730","2008-2012","Total Living with One Parent",249,104.235310715707
"0900575730","2008-2012","Total Living with One Parent, Not in Work Force",19,41.3279566395436
"0900575730","2008-2012","Total Living with Two Parents",1246,142.358701876633
"0900575730","2008-2012","Total Living with Two Parents, Neither in Work Force",24,41.6293165929973
"0900576570","2008-2012","Total Children",7362,359
"0900576570","2008-2012","Total Living with One Parent",2376,398.246155034798
"0900576570","2008-2012","Total Living with One Parent, Not in Work Force",245,124.370414488334
"0900576570","2008-2012","Total Living with Two Parents",4986,486.762775898075
"0900576570","2008-2012","Total Living with Two Parents, Neither in Work Force",34,47.7074417675062
"0900579510","2008-2012","Total Children",336,56
"0900579510","2008-2012","Total Living with One Parent",55,29.1204395571221
"0900579510","2008-2012","Total Living with One Parent, Not in Work Force",32,28.9136645896019
"0900579510","2008-2012","Total Living with Two Parents",281,63.8905313798532
"0900579510","2008-2012","Total Living with Two Parents, Neither in Work Force",4,13
"0900579720","2008-2012","Total Children",576,93
"0900579720","2008-2012","Total Living with One Parent",92,62.1691241694782
"0900579720","2008-2012","Total Living with One Parent, Not in Work Force",11,27.495454169735
"0900579720","2008-2012","Total Living with Two Parents",484,104.623133197205
"0900579720","2008-2012","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900580490","2008-2012","Total Children",4896,353
"0900580490","2008-2012","Total Living with One Parent",1166,327.001529048413
"0900580490","2008-2012","Total Living with One Parent, Not in Work Force",89,76.0197342799881
"0900580490","2008-2012","Total Living with Two Parents",3730,383.740797935273
"0900580490","2008-2012","Total Living with Two Parents, Neither in Work Force",0,32.5269119345812
"0900586440","2008-2012","Total Children",2246,292
"0900586440","2008-2012","Total Living with One Parent",623,224.341257908571
"0900586440","2008-2012","Total Living with One Parent, Not in Work Force",114,98.4428768372806
"0900586440","2008-2012","Total Living with Two Parents",1623,320.755358489925
"0900586440","2008-2012","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900587910","2008-2012","Total Children",1973,160
"0900587910","2008-2012","Total Living with One Parent",199,94.5409963983879
"0900587910","2008-2012","Total Living with One Parent, Not in Work Force",0,34
"0900587910","2008-2012","Total Living with Two Parents",1774,238.662942242821
"0900587910","2008-2012","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900700000","2008-2012","Total Children",0,12
"0900700000","2008-2012","Total Living with One Parent",0,16.9705627484771
"0900700000","2008-2012","Total Living with One Parent, Not in Work Force",0,24
"0900700000","2008-2012","Total Living with Two Parents",0,16.9705627484771
"0900700000","2008-2012","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900714300","2008-2012","Total Children",825,112
"0900714300","2008-2012","Total Living with One Parent",286,130.908364896977
"0900714300","2008-2012","Total Living with One Parent, Not in Work Force",19,36.4965751817893
"0900714300","2008-2012","Total Living with Two Parents",539,143.178210632764
"0900714300","2008-2012","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900715350","2008-2012","Total Children",2658,150
"0900715350","2008-2012","Total Living with One Parent",426,138.003623140844
"0900715350","2008-2012","Total Living with One Parent, Not in Work Force",27,43.2087954009366
"0900715350","2008-2012","Total Living with Two Parents",2232,234.437624966642
"0900715350","2008-2012","Total Living with Two Parents, Neither in Work Force",6,21.4709105535839
"0900718080","2008-2012","Total Children",2785,235
"0900718080","2008-2012","Total Living with One Parent",492,157.543644746464
"0900718080","2008-2012","Total Living with One Parent, Not in Work Force",73,76.1774244773345
"0900718080","2008-2012","Total Living with Two Parents",2293,291.413795143607
"0900718080","2008-2012","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900719130","2008-2012","Total Children",820,105
"0900719130","2008-2012","Total Living with One Parent",108,66.098411478643
"0900719130","2008-2012","Total Living with One Parent, Not in Work Force",0,24
"0900719130","2008-2012","Total Living with Two Parents",712,152.74161188098
"0900719130","2008-2012","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900720810","2008-2012","Total Children",1976,165
"0900720810","2008-2012","Total Living with One Parent",181,102.391405889362
"0900720810","2008-2012","Total Living with One Parent, Not in Work Force",42,71.3582510996451
"0900720810","2008-2012","Total Living with Two Parents",1795,239.240464804765
"0900720810","2008-2012","Total Living with Two Parents, Neither in Work Force",20,35.3553390593274
"0900722280","2008-2012","Total Children",2102,235
"0900722280","2008-2012","Total Living with One Parent",372,198.113603773189
"0900722280","2008-2012","Total Living with One Parent, Not in Work Force",106,115.982757339184
"0900722280","2008-2012","Total Living with Two Parents",1730,285.896834540014
"0900722280","2008-2012","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900722490","2008-2012","Total Children",2683,226
"0900722490","2008-2012","Total Living with One Parent",523,179.011172835664
"0900722490","2008-2012","Total Living with One Parent, Not in Work Force",77,72.8903285765677
"0900722490","2008-2012","Total Living with Two Parents",2160,275.268959383364
"0900722490","2008-2012","Total Living with Two Parents, Neither in Work Force",22,40.7062648740952
"0900726270","2008-2012","Total Children",1297,149
"0900726270","2008-2012","Total Living with One Parent",172,94.175368329516
"0900726270","2008-2012","Total Living with One Parent, Not in Work Force",13,36.7559518989782
"0900726270","2008-2012","Total Living with Two Parents",1125,204.792577990512
"0900726270","2008-2012","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900735230","2008-2012","Total Children",1969,217
"0900735230","2008-2012","Total Living with One Parent",425,172.609385608083
"0900735230","2008-2012","Total Living with One Parent, Not in Work Force",98,107.833204533669
"0900735230","2008-2012","Total Living with Two Parents",1544,243.526179290852
"0900735230","2008-2012","Total Living with Two Parents, Neither in Work Force",28,47.169905660283
"0900740710","2008-2012","Total Children",1522,114
"0900740710","2008-2012","Total Living with One Parent",113,78.1856764375675
"0900740710","2008-2012","Total Living with One Parent, Not in Work Force",0,34
"0900740710","2008-2012","Total Living with Two Parents",1409,186.231039303334
"0900740710","2008-2012","Total Living with Two Parents, Neither in Work Force",34,55.659680200303
"0900747080","2008-2012","Total Children",1083,141
"0900747080","2008-2012","Total Living with One Parent",359,145.344418537486
"0900747080","2008-2012","Total Living with One Parent, Not in Work Force",11,28.8444102037119
"0900747080","2008-2012","Total Living with Two Parents",724,134.951843262699
"0900747080","2008-2012","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900747360","2008-2012","Total Children",8858,411
"0900747360","2008-2012","Total Living with One Parent",3711,517.556760172254
"0900747360","2008-2012","Total Living with One Parent, Not in Work Force",458,188.515251372402
"0900747360","2008-2012","Total Living with Two Parents",5147,520.343156003805
"0900747360","2008-2012","Total Living with Two Parents, Neither in Work Force",46,59.0338885725818
"0900757320","2008-2012","Total Children",2188,269
"0900757320","2008-2012","Total Living with One Parent",582,215.501740132185
"0900757320","2008-2012","Total Living with One Parent, Not in Work Force",95,115.008695323441
"0900757320","2008-2012","Total Living with Two Parents",1606,275
"0900757320","2008-2012","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900761800","2008-2012","Total Children",2036,191
"0900761800","2008-2012","Total Living with One Parent",331,168.573426138285
"0900761800","2008-2012","Total Living with One Parent, Not in Work Force",59,48.1144468948776
"0900761800","2008-2012","Total Living with Two Parents",1705,201.586209845813
"0900761800","2008-2012","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900781680","2008-2012","Total Children",1171,171
"0900781680","2008-2012","Total Living with One Parent",276,130.115333454593
"0900781680","2008-2012","Total Living with One Parent, Not in Work Force",35,71.3582510996451
"0900781680","2008-2012","Total Living with Two Parents",895,171.119841047144
"0900781680","2008-2012","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900900000","2008-2012","Total Children",0,12
"0900900000","2008-2012","Total Living with One Parent",0,16.9705627484771
"0900900000","2008-2012","Total Living with One Parent, Not in Work Force",0,24
"0900900000","2008-2012","Total Living with Two Parents",0,16.9705627484771
